name,phone,email
<h1>Re/Max Villa</h1>,(888) 407-6374,
<h1>West 38th St Associates</h1>,(212) 971-9210,
<h1>Raz Realty</h1>,(212) 865-2366,info@razrealty.com
<h1>Avalon Realty</h1>,(201) 604-2100,jamal@express123.com
<h1>Cooper &amp; Cooper Real Estate</h1>,(212) 864-4555,info@coopercooper.com
<h1>Furumoto Realty Inc</h1>,(516) 944-6810,mail@furumoto.com
<h1>Brooklyn Properties Inc</h1>,(718) 532-1234,home@brooklynproperties.com
<h1>Sperry Van Ness Butler Kane</h1>,(212) 686-4949,
<h1>Rosen Partners</h1>,(212) 254-2552,
<h1>Ny Living Solutions</h1>,(212) 227-0021,info@nyls.net
<h1>Jem Realty Associates</h1>,(212) 431-1439,
<h1>Home Dax Real Estate</h1>,(917) 960-8524,sally@slcrealtyny.com
<h1>Century 21</h1>,(718) 465-2100,
<h1>Darlene Sterling Real Estate Agent</h1>,(718) 496-2268,
<h1>Bernstein Real Estate</h1>,(212) 594-1414,dberger@bernsteinre.com
<h1>Sandy Beck License Real Estate</h1>,(212) 925-0205,
<h1>New Era Realty</h1>,(212) 847-7204,
<h1>Sandy Beck License Real Estate Broker</h1>,(212) 925-0205,
<h1>Penmark</h1>,(212) 226-4306,
<h1>Dariko Assocs Inc</h1>,(212) 828-3645,
<h1>Newmark &amp; Co Real Estate</h1>,(212) 545-5220,efernandez@230fifthave.com
<h1>245 Realty</h1>,(212) 243-7700,
<h1>Douglas Elliman</h1>,(212) 337-6162,
<h1>Secure</h1>,(212) 315-7200,
<h1>Manhattan Real Estate - David Lewandowski</h1>,(212) 769-6516,dlewandowski@elliman.com
<h1>Harsimus Cove Realty</h1>,(201) 451-8800,michael@harsimuscoverealty.com
<h1>Boyne Realty Inc</h1>,(201) 451-0950,boynerealty@msn.com
<h1>Elysian Realty</h1>,(201) 420-6636,
<h1>277 York Street Realty</h1>,(201) 547-8370,
<h1>Clarion Realty Services</h1>,(201) 451-0906,alex@checkfree.com
<h1>Quality Living Village Inc</h1>,(212) 941-9000,uptown@qualityliving.com
<h1>Eastgate Realty Corp</h1>,(212) 279-0799,
<h1>Cast Iron Real Estate Corp</h1>,(212) 226-8576,info@castironrealestate.com
<h1>City Solutions Limited</h1>,(212) 232-0210,
<h1>Jemb Realty</h1>,(212) 699-4444,
<h1>Regatta New York Realty</h1>,(212) 945-2121,billg@regattany.com
<h1>William Beaver House</h1>,(212) 966-1015,
<h1>Penmark</h1>,(212) 227-0136,
<h1>Cushman &amp; Wakefield</h1>,(201) 239-7180,web@www.cushmanwakefield.com
<h1>R Kenyatta Punter &amp; Associates Inc</h1>,(212) 663-3316,info@rkpassoc.com
<h1>746 Realty Corp</h1>,(212) 662-0235,
<h1>Key Ventures Inc</h1>,(212) 439-1610,
<h1>Metropolitan Realty Group</h1>,(212) 722-5552,info@metreal.com
<h1>Sloane Square</h1>,(212) 327-3347,jsloane@sloanesquarenyc.com
<h1>Downtown Najjar Realty</h1>,(201) 420-9484,
<h1>Fenwick Keats Realty</h1>,(212) 721-2825,pfaherty@fenwick-keats.com
<h1>238 Fifth Street Realty Associates Inc</h1>,(201) 222-3103,
<h1>Adg Capital</h1>,(212) 396-4323,
<h1>James Lenox House Inc</h1>,(212) 535-2805,
<h1>Edward Lee Cave Inc</h1>,(212) 772-8510,
<h1>Studley New Vista Associates</h1>,(212) 759-7300,
<h1>Georgetown Co</h1>,(212) 755-2323,klew@georgetownco.com
<h1>Urban Development Partners</h1>,(212) 767-0960,
<h1>Penmark Realty- Orion Building 350 West 42 Street</h1>,(212) 868-5210,anna@penmarkrealty.com
<h1>Re/Max</h1>,(888) 407-6374,
<h1>500 Park Tower</h1>,(212) 751-5888,
<h1>Platinum Properties</h1>,(212) 825-0050,employment@pp-nyc.com
<h1>Ring F M Assoc Inc</h1>,(212) 765-1655,certs@kddiamonds.com
<h1>Cape Advisors</h1>,(212) 343-1700,info@capeadvisors.com
<h1>Besen &amp; Associates</h1>,(212) 689-8488,mmager@besenretail.com
<h1>Armagno Agency Inc</h1>,(201) 659-7101,
<h1>Century 21</h1>,(201) 792-7601,staff@hobokenhomes.com
<h1>Willette Daniels Realty Inc.</h1>,(718) 547-9500,wdrealtyinc3@aol.com
<h1>RI Manhattan Realty</h1>,(212) 581-3003,Lincoln@gmail.com
<h1>Tribeca Bridge Tower</h1>,(212) 587-7858,
<h1>Ny Metro Realty</h1>,(212) 234-8808,rentals@metrocitycorp.com
<h1>545-547 West 158 Street Associates Ltd</h1>,(212) 923-4117,
<h1>S &amp; H Realty Co</h1>,(212) 944-8595,
<h1>Empire State Properties</h1>,(212) 786-0300,sales@empirestateproperties.com
<h1>Donovan Billington Barbosa Realty Group</h1>,(201) 451-5042,
<h1>Brunswick Group Inc</h1>,(212) 935-1866,starbucksstore@starbucks.com
<h1>L &amp; L Holding Co</h1>,(212) 645-4435,
<h1>Cohen Brothers Realty Corp</h1>,(212) 838-1800,
<h1>Global Reach Capital</h1>,(212) 564-8777,
<h1>70 Hudson Street Realty</h1>,(201) 333-8131,
<h1>Hudson Gold</h1>,(201) 736-7372,
<h1>Zelnik &amp; Co</h1>,(212) 223-2200,info@zelnikco.com
<h1>Vintage Real Estate</h1>,(212) 736-3680,
<h1>Stewart House</h1>,(212) 995-1940,sbell@stewarthome.com
<h1>Master Cities Inc</h1>,(212) 741-0766,
<h1>Centerline Capital Group</h1>,(212) 317-5700,cmoore@csmcapitalcorp.com
<h1>1031 Solutions</h1>,(212) 926-1031,
"<h1>Barkin &amp; Associates Realty, Inc</h1>",(212) 246-1740,sbarkin@msn.com
<h1>Tunesat</h1>,(212) 247-4400,
<h1>766 Madison Ave Realty Corp</h1>,(212) 861-0349,giftlaw@aol.com
<h1>330 Madison Ave</h1>,(212) 986-5217,
<h1>654 Madison Ave Associates</h1>,(212) 355-0600,cdiamond@madisontimewatches.com
<h1>Titan Luxury</h1>,(646) 770-0491,
<h1>Tinicum Capital Partners LP</h1>,(212) 446-9300,jbartholdson@triumphgroup.com
<h1>Anchor Associates</h1>,(212) 826-3130,nicole@anchornyc.com
<h1>Gotham Realty</h1>,(212) 768-3433,sarahcohen@optonline.net
<h1>East 46th Realty</h1>,(212) 599-9495,
<h1>D C &amp; H Realty</h1>,(212) 768-2811,
<h1>Two Seventy Four Madison Av</h1>,(212) 689-4097,mail@filmemporium.com
<h1>240 Madison Ave Assoc</h1>,(212) 685-3209,
<h1>211 Madison Ave Condos</h1>,(212) 889-0713,
<h1>Levi Herman Real Estate</h1>,(818) 939-8084,levih@meierrealestate.com
<h1>Fd &amp; Associates Group Inc</h1>,(212) 564-3332,
<h1>Village East Towers Inc</h1>,(212) 477-5500,
<h1>Sommerlyn Associates</h1>,(212) 348-0090,
"<h1>Capstone Realty Advisors, Inc</h1>",(212) 239-1300,jmclaughlin@capstoneny.com
<h1>Rajshree Banerjee- Walkable Living Real Estate</h1>,(201) 503-5878,WalkableLiving@gmail.com
<h1>Won &amp; Har</h1>,(212) 608-2270,kevin@woon.us
<h1>International Finance &amp; Trade</h1>,(212) 995-2123,
"<h1>Brian David, LLC Realtors</h1>",(201) 984-4244,
<h1>Philippe Choplin | Douglas Elliman Real Estate Agent in NYC</h1>,(718) 780-8178,philippe.choplin@elliman.com
"<h1>CitySites Real Estate Group, Inc</h1>",(212) 588-9490,contact@citysitesny.com
<h1>Brause Realty Inc</h1>,(212) 319-8263,officeretail@ardorny.com
<h1>Innovative Realty Century 21</h1>,(201) 792-7601,
<h1>Rc Chera Realty Group</h1>,(718) 243-2455,
<h1>Maxwell-Kates Inc</h1>,(212) 283-6251,info@maxwellkatesinc.com
<h1>The Corcoran Group</h1>,(212) 721-7227,Janet.Lowry@corcoran.com
<h1>Norman Bobrow &amp; Co Inc</h1>,(212) 682-9790,info@normanbobrow.com
<h1>Capmar Realty Corp</h1>,(212) 988-8675,
<h1>Capit Realty Co Inc</h1>,(212) 452-3174,
<h1>Eagle Court</h1>,(212) 799-3688,
<h1>Town Flatiron</h1>,(212) 604-0640,reservations@flatironhotel.com
<h1>Solow Realty</h1>,(212) 758-1592,
<h1>Moinian Group</h1>,(212) 808-4000,
